image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_0676.jpg,photo_0683.jpg,2023-05-08 15:30:56,2023-05-08 15:31:57,61,"(1072.800048828125, 758.4000244140625)","(130.8000030517578, 800.4000244140625)",58.933492912650784,0.12219521612446019
photo_0676.jpg,photo_0684.jpg,2023-05-08 15:30:56,2023-05-08 15:32:06,70,"(1211.115478515625, 164.8263702392578)","(158.40000915527344, 633.6000366210938)",88.64391266636805,0.16016688677203186
photo_0676.jpg,photo_0685.jpg,2023-05-08 15:30:56,2023-05-08 15:32:15,79,"(1071.0, 765.0)","(970.56005859375, 221.760009765625)",26.307007801244282,0.04211785248989085
photo_0676.jpg,photo_0686.jpg,2023-05-08 15:30:56,2023-05-08 15:32:23,87,"(1071.0, 765.0)","(944.4000244140625, 669.6000366210938)",14.410942476694009,0.020950528786807567
photo_0677.jpg,photo_0678.jpg,2023-05-08 15:31:05,2023-05-08 15:31:14,9,"(626.227294921875, 145.1520233154297)","(605.4912719726562, 590.97607421875)",7.084222602337188,0.0995569416381786
photo_0677.jpg,photo_0679.jpg,2023-05-08 15:31:05,2023-05-08 15:31:23,18,"(741.51953125, 169.20579528808594)","(1179.4639892578125, 379.2200622558594)",11.038562679433072,0.07756430042748305
photo_0677.jpg,photo_0680.jpg,2023-05-08 15:31:05,2023-05-08 15:31:31,26,"(552.4071655273438, 323.481689453125)","(683.0, 345.0)",2.877256335311464,0.01399674543423823
photo_0677.jpg,photo_0681.jpg,2023-05-08 15:31:05,2023-05-08 15:31:40,35,"(549.4212036132812, 316.514404296875)","(270.7200012207031, 162.72000122070312)",12.732765835127877,0.046012577795056395
photo_0677.jpg,photo_0682.jpg,2023-05-08 15:31:05,2023-05-08 15:31:49,44,"(744.0, 171.60000610351562)","(141.60000610351562, 375.6000061035156)",45.428894464624406,0.13058742208831126
photo_0677.jpg,photo_0683.jpg,2023-05-08 15:31:05,2023-05-08 15:31:57,52,"(171.99273681640625, 508.81182861328125)","(96.0, 141.0)",19.767375491988204,0.048080339465897466
